Ticker,Nazwa,Cena,Data,Godzina,Kurs odniesienia,Kurs otwarcia,Max 1D,Min 1D,Wolumen obrotu,Wartość obrotu,Liczba transakcji,Stopa zwrotu 1R,Max 1R,Min 1R,System notowań
ORANGEPL,Orange Polska S.A. (OPL),9.824,2025-05-27,10:24:47,9.804,9.76,9.852,9.76,30385.0,298213.0,157.0,15.89,9.9260(2025-05-21),7.1500(2025-01-14),ciągłe
PEKAO,Bank Polska Kasa Opieki SA (PEO),182.7,2025-05-27,10:24:48,181.8,181.75,183.25,181.1,96944.0,17647032.0,906.0,14.59,192.6000(2025-04-29),135.6500(2024-11-29),ciągłe
PEPCO,Pepco Group NV (PCO),16.895,2025-05-27,10:24:51,16.965,17.09,17.1,16.88,241689.0,4110906.0,1121.0,-33.47,24.6000(2024-06-03),14.0250(2025-04-04),ciągłe
PGE,Polska Grupa Energetyczna SA (PGE),9.186,2025-05-27,10:24:54,9.2,9.2,9.26,9.084,240229.0,2203263.0,619.0,23.59,9.5940(2025-05-16),5.8440(2024-12-19),ciągłe
PKNORLEN,ORLEN SA (PKN),71.8,2025-05-27,10:24:55,71.9,71.9,71.97,71.25,141212.0,10121566.0,1207.0,10.29,73.0000(2025-05-13),46.3200(2024-12-17),ciągłe
PKOBP,Powszechna Kasa Oszczędności Bank Polski SA (PKO),76.04,2025-05-27,10:24:57,75.82,75.7,76.22,75.12,185258.0,14027384.0,1051.0,30.68,80.0400(2025-03-18),49.8400(2024-08-07),ciągłe
PZU,Powszechny Zakład Ubezpieczeń SA (PZU),60.66,2025-05-27,10:24:59,60.5,60.62,60.78,60.12,120147.0,7252208.0,817.0,19.33,63.3200(2025-05-16),39.1500(2024-09-16),ciągłe
SANPL,Santander Bank Polska SA (SPL),512.8,2025-05-27,10:25:01,509.2,509.2,514.8,508.4,6090.0,3117656.0,411.0,0.39,621.0000(2025-04-25),437.2000(2024-11-29),ciągłe
ZABKA,Grupa Żabka SA (ZAB),23.63,2025-05-27,10:25:02,23.58,23.59,23.75,23.59,197867.0,4685049.0,773.0,-,24.7450(2025-01-17),17.9000(2024-11-25),ciągłe
ALIOR,Alior Bank SA (ALR),106.3,2025-05-27,10:55:11,106.65,106.65,107.45,106.1,21018.0,2243561.0,283.0,11.3,123.1500(2025-04-01),85.8600(2024-11-19),ciągłe
ALLEGRO,Allegro.eu SA (ALE),33.49,2025-05-27,10:55:13,33.515,33.25,33.835,33.24,409287.0,13748662.0,1764.0,-16.22,39.9750(2024-05-27),25.6700(2025-01-13),ciągłe
BUDIMEX,Budimex SA (BDX),660.6,2025-05-27,10:55:16,658.8,664.0,669.6,659.4,15405.0,10234978.0,961.0,-17.01,796.0000(2024-05-27),440.4000(2024-12-17),ciągłe
CCC,CCC S.A. (CCC),236.2,2025-05-27,10:55:17,235.3,236.4,239.8,234.8,163873.0,38844692.0,1817.0,80.31,244.5000(2025-04-29),114.5000(2024-07-02),ciągłe
CDPROJEKT,CD Projekt SA (CDR),220.2,2025-05-27,10:55:19,220.1,221.5,221.9,218.7,33504.0,7378226.0,1146.0,57.57,257.6000(2025-05-02),130.3000(2024-05-29),ciągłe
DINOPL,Dino Polska SA (DNP),539.6,2025-05-27,10:55:22,544.8,541.0,544.0,538.4,12994.0,7031345.0,657.0,34.9,556.2000(2025-05-08),303.3000(2024-09-16),ciągłe
KETY,Grupa Kęty SA (KTY),870.0,2025-05-27,10:55:24,867.5,866.0,877.0,864.5,1252.0,1090434.0,230.0,1.11,906.5000(2024-06-24),664.0000(2024-10-30),ciągłe
KGHM,KGHM Polska Miedź SA (KGH),125.8,2025-05-27,10:55:26,127.3,127.0,127.3,124.5,78661.0,9921697.0,1100.0,-19.46,163.7000(2024-09-26),106.5000(2025-04-09),ciągłe
KRUK,Kruk SA (KRU),418.1,2025-05-27,10:55:27,421.0,420.8,422.8,417.7,11841.0,4984579.0,729.0,-7.72,476.8000(2024-07-09),352.0000(2025-04-09),ciągłe
LPP,LPP SA (LPP),15570.0,2025-05-27,10:55:29,15625.0,15740.0,15740.0,15430.0,604.0,9410810.0,362.0,-10.2,18500.0000(2025-03-06),13670.0000(2024-09-11),ciągłe
MBANK,mBank S.A. (MBK),836.4,2025-05-27,10:55:32,826.4,826.2,839.4,813.4,3094.0,2580932.0,401.0,31.01,868.6000(2025-04-24),530.0000(2024-11-28),ciągłe
ORANGEPL,Orange Polska S.A. (OPL),9.814,2025-05-27,10:55:34,9.804,9.76,9.852,9.76,35603.0,349452.0,183.0,15.89,9.9260(2025-05-21),7.1500(2025-01-14),ciągłe
PEKAO,Bank Polska Kasa Opieki SA (PEO),181.95,2025-05-27,10:55:36,181.8,181.75,183.25,181.1,113122.0,20596152.0,1071.0,14.59,192.6000(2025-04-29),135.6500(2024-11-29),ciągłe
PEPCO,Pepco Group NV (PCO),16.925,2025-05-27,10:55:37,16.965,17.09,17.1,16.87,284040.0,4828044.0,1306.0,-33.47,24.6000(2024-06-03),14.0250(2025-04-04),ciągłe
PGE,Polska Grupa Energetyczna SA (PGE),9.146,2025-05-27,10:55:39,9.2,9.2,9.26,9.084,273252.0,2505980.0,734.0,23.59,9.5940(2025-05-16),5.8440(2024-12-19),ciągłe
PKNORLEN,ORLEN SA (PKN),71.89,2025-05-27,10:55:41,71.9,71.9,72.0,71.25,279254.0,20046310.0,1985.0,10.29,73.0000(2025-05-13),46.3200(2024-12-17),ciągłe
PKOBP,Powszechna Kasa Oszczędności Bank Polski SA (PKO),75.9,2025-05-27,10:55:42,75.82,75.7,76.22,75.12,241795.0,18320192.0,1374.0,30.68,80.0400(2025-03-18),49.8400(2024-08-07),ciągłe
PZU,Powszechny Zakład Ubezpieczeń SA (PZU),60.32,2025-05-27,10:55:44,60.5,60.62,60.78,60.12,133533.0,8062303.0,989.0,19.33,63.3200(2025-05-16),39.1500(2024-09-16),ciągłe
SANPL,Santander Bank Polska SA (SPL),511.4,2025-05-27,10:55:47,509.2,509.2,514.8,508.4,7637.0,3910623.0,532.0,0.39,621.0000(2025-04-25),437.2000(2024-11-29),ciągłe
ZABKA,Grupa Żabka SA (ZAB),23.54,2025-05-27,10:55:49,23.58,23.59,23.75,23.52,302738.0,7157694.0,1086.0,-,24.7450(2025-01-17),17.9000(2024-11-25),ciągłe
